participant_id	cnb_pvrt_cr	cnb_pvrt_pc	cnb_pvrt_rtto	cnb_pvrt_rtcr	cnb_pvrt_rter
sub-130211	15.0	100.0	4175.0	4175.0	n/a
sub-130687	15.0	100.0	5921.0	5921.0	n/a
sub-130759	13	86.6667	5016	5016	4719.5
sub-130896	14.0	93.3333	2863.0	2987.0	2863.0
sub-131224	15.0	100.0	3320.0	3320.0	n/a
sub-131867	13.0	86.6667	5992.0	5887.0	10964.0
sub-132179	11.0	73.3333	6528.0	6528.0	7234.5
sub-132224	15.0	100.0	3384.0	3384.0	n/a
sub-132657	14.0	93.3333	3375.0	3307.0	15431.0
sub-133220	14.0	93.3333	3887.0	3939.0	3887.0
sub-139272	8.0	53.3333	4536.0	4468.0	5510.0
sub-19977	13.0	86.6667	5909.0	5909.0	6788.5
sub-19981	11.0	73.3333	5123.0	5026.0	10320.5
