participant_id,session_id,task,acq,median_FD,low_coverage_sum,qc_determination
sub-90262,ses-1,fracback,singleband,0.0689574282578939,2,pass
sub-90262,ses-1,rest,multiband,0.0798526583782247,2,pass
sub-90262,ses-1,rest,singleband,0.0917743136439895,2,pass
sub-90281,ses-1,fracback,singleband,0.1218683769311305,2,pass
sub-90281,ses-1,rest,multiband,0.0900216243496188,2,pass
sub-90281,ses-1,rest,singleband,0.0821523106981841,2,pass
sub-90683,ses-1,rest,multibandVARIANTObliquityFalse,0.1347798318771677,2,pass
sub-91717,ses-1,fracback,singleband,0.0922137721923805,2,pass
sub-91717,ses-1,rest,multiband,0.1327173398483045,2,pass
sub-91717,ses-1,rest,singleband,0.1754724886278263,2,pass
sub-91919,ses-1,rest,multibandVARIANTObliquityFalse,0.0673850292531653,2,pass
sub-91962,ses-1,fracback,singleband,0.1358280788177699,2,pass
sub-91962,ses-1,rest,multiband,0.127987385905913,2,pass
sub-91962,ses-1,rest,singleband,0.1644738882068295,2,pass
sub-92089,ses-1,fracback,singleband,0.0502713712954029,2,pass
sub-92089,ses-1,rest,multiband,0.0825213406303343,2,pass
sub-92089,ses-1,rest,singleband,0.0668905587486509,2,pass
sub-92182,ses-1,fracback,singleband,0.0562515554553701,2,pass
sub-92182,ses-1,rest,multiband,0.1254852468492977,2,pass
sub-92182,ses-1,rest,singleband,0.0924454729091965,2,pass
sub-92193,ses-1,fracback,singlebandVARIANTObliquityFalse,0.0660318413372883,2,pass
sub-92193,ses-1,rest,multibandVARIANTObliquityFalse,0.0522819459798782,2,pass
sub-92193,ses-1,rest,singlebandVARIANTObliquityFalse,0.0826166834750119,2,pass
sub-92211,ses-1,fracback,singleband,0.0747843989775865,2,pass
sub-92211,ses-1,rest,multiband,0.0816773299867293,2,pass
sub-92211,ses-1,rest,singleband,0.0798704682717734,2,pass
sub-92554,ses-1,fracback,singleband,0.0686408023739706,2,pass
sub-92554,ses-1,rest,multiband,0.119923097687094,2,pass
sub-92554,ses-1,rest,singleband,0.0483452263536427,2,pass
sub-92927,ses-1,fracback,singleband,0.0453628205373517,2,pass
sub-92927,ses-1,rest,multiband,0.0519704006187812,2,pass
sub-92927,ses-1,rest,singleband,0.0521890455332029,2,pass
sub-93051,ses-1,fracback,singleband,0.1009496105711472,2,pass
sub-93051,ses-1,rest,multiband,0.0714653056263703,2,pass
sub-93051,ses-1,rest,singleband,0.0755625592297919,2,pass
sub-93169,ses-1,face,singleband,0.0641307345845917,2,pass
sub-93169,ses-1,fracback,singleband,0.048691639285185,2,pass
sub-93169,ses-1,rest,multiband,0.0662981342706051,2,pass
sub-93169,ses-1,rest,singleband,0.033341612239611,2,pass
sub-93274,ses-1,fracback,singleband,0.0846487324957496,2,pass
sub-93274,ses-1,rest,multiband,0.0743151262859642,2,pass
sub-93274,ses-1,rest,singleband,0.0642072579366969,2,pass
sub-93278,ses-1,fracback,singleband,0.0541984836233615,2,pass
sub-93278,ses-1,rest,multiband,0.0719391827946979,2,pass
sub-93278,ses-1,rest,singleband,0.0714296120535251,2,pass
sub-93292,ses-1,rest,multibandVARIANTObliquityFalse,0.1367369072459139,2,pass
sub-93406,ses-1,rest,multibandVARIANTObliquityFalse,0.1409864214378748,2,pass
sub-93517,ses-1,fracback,singleband,0.1381242168669662,2,pass
sub-93517,ses-1,rest,multiband,0.2408343830526391,2,fail
sub-93517,ses-1,rest,singleband,0.1544215161600344,2,pass
sub-93549,ses-1,fracback,singleband,0.3001352340331918,2,fail
sub-93549,ses-1,rest,multiband,0.163432076102498,2,pass
sub-93549,ses-1,rest,singleband,0.1210803335125404,2,pass
sub-93723,ses-1,fracback,singleband,0.0583694395178515,2,pass
sub-93723,ses-1,rest,multiband,0.0995166258548247,2,pass
sub-93723,ses-1,rest,singleband,0.1067666537941736,2,pass
sub-93734,ses-1,face,singleband,0.0962618147245524,2,pass
sub-93734,ses-1,fracback,singleband,0.0522033781802223,2,pass
sub-93734,ses-1,rest,multiband,0.0750698706618199,2,pass
sub-93734,ses-1,rest,singleband,0.0770647464126733,2,pass
sub-93787,ses-1,fracback,singleband,0.0423264963778275,2,pass
sub-93787,ses-1,rest,multiband,0.0822177831595402,2,pass
sub-93787,ses-1,rest,singleband,0.0582098948240139,2,pass
sub-93856,ses-1,fracback,singleband,0.0677995056371558,2,pass
sub-93856,ses-1,rest,multiband,0.087923634627036,2,pass
