participant_id	bisbas_1	bisbas_2	bisbas_3	bisbas_4	bisbas_5	bisbas_6	bisbas_7	bisbas_8	bisbas_9	bisbas_10	bisbas_11	bisbas_12	bisbas_13	bisbas_14	bisbas_15	bisbas_16	bisbas_17	bisbas_18	bisbas_19	bisbas_20	bisbas_21	bisbas_22	bisbas_23	bisbas_24
sub-20387	2	4	1	2	1	2	2	1	1	2	3	2	1	2	2	1	3	2	1	1	2	2	1	1
sub-20461	3	4	2	1	3	1	1	1	2	2	1	3	1	1	2	1	1	1	1	4	3	3	2	1
sub-20589	3	4	2	2	2	1	1	2	2	2	3	1	1	2	2	2	1	1	1	1	2	3	1	1
sub-20649	4	4	1	1	1	2	1	2	2	4	4	2	1	2	4	1	1	1	2	4	2	2	4	1
sub-20699	2	4	2	1	1	2	1	2	2	2	1	3	2	3	2	2	2	1	1	2	2	3	1	1
sub-20809	2	4	1	1	1	3	1	1	1	1	2	2	1	2	3	2	1	2	1	2	3	4	1	1
sub-20888	4	2	3	2	1	1	1	3	3	2	2	2	1	1	2	3	1	1	1	1	2	3	2	1
sub-20940	3	1	2	1	1	1	1	4	1	2	2	1	2	2	2	1	2	1	2	2	3	2	2	1
sub-20941	3	4	1	3	1	2	3	1	1	2	2	2	1	1	3	1	1	1	1	2	2	4	2	1
sub-20949	3	1	2	2	1	1	2	3	3	3	4	4	2	4	4	4	2	3	1	2	4	1	2	2
sub-20963	2	4	2	1	2	1	1	2	2	3	2	4	1	3	4	2	1	1	1	2	4	4	2	1
sub-20974	2	4	1	1	2	1	1	1	1	3	4	1	1	1	2	1	1	1	1	1	1	4	1	1
sub-20981	3	4	1	2	3	1	1	1	2	4	3	3	2	2	4	1	1	2	1	4	4	4	2	1
sub-21016	2	4	3	1	1	2	1	2	3	2	2	3	1	1	2	2	1	2	1	1	3	3	3	1
sub-21056	3	4	2	1	3	4	1	1	2	2	1	2	1	1	1	1	1	1	1	2	4	1	1	1
sub-21059																								
sub-21085	3	4	2	2	2	3	3	3	2	2	2	2	3	3	4	1	3	3	1	3	3	3	2	1
sub-80557	2	3	1	1	1	1	1	3	1	3	4	2	4	1	3	2	1	2	2	1	3	2	1	2
sub-80688	1	3	2	2	1	2	1	2	2	2	2	1	1	2	3	2	2	2	1	3	3	2	2	1
sub-81725	1	4	1	1	1	1	1	3	1	2	4	1	4	2	1	3	2	1	1	1	2	2	1	1
sub-81760	2	3	3	2	2	2	2	2	3	2	3	3	2	2	2	3	1	2	2	2	4	3	2	2
sub-82051	1	1	2	2	2	2	2	1	2	3	1	2	1	2	1	1	2	1	3	2	3	2	3	1
sub-82063	2	4	2	1	2	1	1	1	2	2	3	2	1	2	3	1	2	2	2	2	3	3	1	1
sub-82492	2	3	1	1	1	1	1	3	1	1	4	1	2	1	1	2	1	1	1	1	1	1	1	3
sub-82790	2	4	3	1	2	2	1	2	3	4	2	4	2	3	3	2	2	1	2	2	3	3	1	1
sub-83010	2	1	4	2	1	3	2	3	3	1	4	3	3	1	2	3	1	3	2	2	2	2	2	2
sub-83372	2	3	3	1	2	2	1	2	2	2	4	2	2	1	2	2	1	2	2	2	2	2	2	2
sub-83454	1	2	2	1	1	1	1	2	2	2	3	1	2	1	3	3	3	3	2	2	3	2	1	2
sub-83835	1	2	1	1	1	2	1	2	1	1	3	1	4	1	3	4	1	2	4	1	2	3	1	1
sub-83999	2	4	2	2	2	2	1	1	2	2	3	3	1	2	4	1	2	2	1	2	2	3	2	1
sub-84103	1	1	1	2	3	3	3	3	1	3	2	2	3	3	4	1	1	3	1	3	3	1	2	2
sub-84354	2	2	3	1	2	2	1	3	4	3	4	3	3	2	4	4	2	2	2	4	4	3	2	3
sub-84688	1	1	1	1	2	2	2	2	3	4	4	2	3	3	1	1	3	1	3	2	3	4	1	1
sub-84761	1	3	2	1	1	2	2	3	2	2	3	2	2	4	2	4	1	2	1	3	3	4	2	2
sub-84973	2	4	2	1	1	2	1	1	2	2	2	2	1	1	2	1	1	1	3	2	3	4	1	1
sub-85083	2	3	1	1	1	1	1	4	1	1	4	1	3	1	1	2	1	1	1	1	3	2	1	1
sub-85173	2	2	3	1	2	3	1	1	2	3	2	2	1	2	4	2	2	3	1	3	2	3	2	1
sub-85369	2	4	2	1	1	2	2	4	2	2	4	1	3	2	2	3	4	2	2	3	4	2	1	2
sub-85743	2	3	2	1	1	1	1	1	2	2	3	2	1	2	3	2	2	2	1	2	3	3	1	1
sub-85853	1	3	2	2	3	2	1	2	2	3	2	2	2	2	2	2	2	2	1	3	3	3	2	2
sub-86287	2	2	1	1	1	1	1	2	1	1	3	1	2	1	1	2	2	1	3	1	1	2	1	4
sub-86350	1	2	1	1	1	2	1	4	1	1	1	2	2	1	2	3	1	1	4	2	2	1	1	2
sub-86444	4	4	1	1	1	1	1	4	1	2	4	1	4	1	4	2	4	2	2	2	2	2	2	3
sub-86486	1	2	1	1	1	2	1	3	2	1	3	2	3	1	3	3	3	1	1	1	1	2	1	2
sub-86722	1	3	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
sub-86924	2	3	4	1	2	3	1	4	4	2	3	2	4	1	2	2	2	2	2	3	3	2	2	2
sub-86972	1	3	2	1	1	1	1	2	2	1	2	2	3	2	2	2	1	1	1	3	3	1	1	1
sub-87135	1	3	2	2	2	2	1	2	1	3	3	3	2	2	4	3	2	2	1	3	3	3	1	1
sub-87346	2	4	3	1	2	2	1	2	2	1	4	2	1	2	3	2	2	2	2	1	2	2	1	1
sub-87445	1	3	4	2	2	3	2	1	3	3	3	3	1	4	4	4	2	2	1	2	4	4	2	1
sub-87457	2	3	3	1	1	2	1	2	2	2	3	2	2	2	3	3	2	2	2	2	3	2	2	2
sub-87538	2	3	1	1	1	1	1	2	1	1	3	1	3	1	1	1	1	1	1	1	1	1	1	1
sub-87563	2	1	3	1	1	1	2	4	3	2	3	2	3	2	3	4	2	2	4	2	3	2	2	3
sub-87601	1	4	2	1	1	1	1	2	1	1	3	2	2	2	3	3	2	2	2	2	3	3	2	2
sub-87646	2	2	2	1	2	2	1	2	2	2	3	2	2	2	3	3	2	2	2	2	3	2	2	2
sub-87804	1	2	2	1	1	1	1	3	2	2	3	2	1	1	3	3	1	1	1	2	3	1	1	2
sub-87990	1	2	2	1	1	1	1	4	2	1	4	1	4	2	1	4	1	4	4	1	1	1	1	4
sub-88209	2	4	3	1	2	2	2	2	3	2	3	3	1	2	3	2	2	2	1	3	3	3	1	2
sub-88402	1	3	1	1	4	1	1	2	1	1	4	1	2	1	3	3	1	1	1	1	2	2	1	1
sub-88589	1	3	1	1	2	1	1	3	2	3	4	1	3	1	3	3	3	1	1	2	2	2	1	2
sub-88608	2	2	2	3	1	2	2	3	3	2	2	1	3	1	1	3	2	2	2	1	2	1	1	2
sub-88760	1	2	3	2	1	1	2	3	2	2	4	2	3	1	3	4	2	2	3	2	4	2	1	3
sub-88770	2	3	4	2	1	2	2	4	3	3	2	1	3	1	2	3	1	3	2	1	2	2	1	2
sub-88773	2	3	1	1	1	1	1	3	1	1	4	1	3	1	2	3	2	2	2	2	2	2	1	3
sub-89279	2	1	1	1	2	3	1	4	2	3	4	2	2	2	4	3	1	2	2	4	3	1	2	2
sub-89377	1	3	2	1	2	2	1	1	2	3	3	2	1	2	3	2	2	3	2	3	3	3	2	2
sub-90021	3	3	2	2	1	4	2	4	2	1	3	2	4	2	2	3	1	4	2	2	2	3	2	2
sub-90060	2	4	2	1	1	2	1	1	1	2	2	2	2	2	3	2	1	1	2	1	2	2	1	2
sub-90077	2	4	4	2	3	1	2	1	4	4	1	4	1	2	1	1	2	3	1	4	4	4	2	1
sub-90262	1	3	1	1	1	1	1	2	1	2	3	2	1	2	3	2	3	1	2	2	3	3	1	3
sub-90281	2	3	3	2	2	1	1	2	2	1	4	2	2	2	2	2	2	2	1	2	3	2	1	1
sub-90683	1	3	2	1	1	1	1	3	1	1	2	1	2	1	1	3	2	1	2	1	2	3	1	3
sub-91717	1	2	3	1	1	2	2	3	2	2	3	2	3	2	2	3	2	1	2	3	3	2	2	2
sub-91919	2	4	1	1	1	1	1	3	1	1	4	1	2	1	4	3	1	1	2	1	3	3	1	2
sub-91962	1	2	1	1	1	1	1	3	2	1	1	1	1	2	2	3	2	2	1	1	3	3	1	2
sub-92089																								
sub-92182	1	3	2	1	1	2	1	3	2	1	3	2	2	2	2	2	1	2	1	1	2	3	1	1
sub-92193	1	3	2	1	1	2	1	2	2	1	1	2	1	1	2	1	2	1	1	1	2	3	1	1
sub-92211	2	3	3	2	1	3	2	2	2	2	3	2	3	2	3	3	1	2	1	2	3	3	1	1
sub-92554	1	3	1	1	1	1	1	2	1	1	3	1	2	1	3	2	2	1	1	1	3	2	1	2
