participant_id	grit_1	grit_2	grit_3	grit_4	grit_5	grit_6	grit_7	grit_8	grit_9	grit_10	grit_11	grit_12	grit_13	grit_14	grit_15___0	grit_15___1	grit_15___2	grit_15___3	grit_complete
sub-85083	5	4	5	4	5	5	3	4	5	5	5	5	2.0	20.0	1	1	1	1	2
sub-85173	4	3	1	4	5	4	2	2	4	3	4	2	3.0	7.0	1	0	0	0	2
sub-85369	5	5	4	5	4	4	3	5	5	4	5	5	5.0	13.0	1	1	1	1	2
sub-85743	5	3	5	2	5	4	3	2	5	3	4	5	3.0	10.0	1	1	0	1	2
sub-85853	3	3	3	4	4	2	4	4	3	4	2	3	1.0	7.0	1	1	1	0	2
sub-86287	4	2	4	1	3	5	1	2	3	2	5	5	2.0	2.0	1	1	1	1	2
sub-86350	5	5	3	4	5	5	4	3	2	3	3	5	8.0	8.0	1	1	0	1	2
sub-86444	5	5	1	1	5	5	1	5	5	5	5	5	6.0	8.0	1	0	0	0	2
sub-86486	5	3	5	3	4	5	2	1	5	4	5	5	2.0	6.5	1	1	1	1	2
sub-86722	4	3	3	3	3	3	4	3	3	3	3	3	6.0	5.0	0	1	0	0	2
sub-86924	5	5	3	3	5	4	4	4	3	4	3	5	5.0	12.0	1	1	1	1	2
sub-86972	3	2	1	3	5	2	3	3	1	2	2	2	4.0	10.0	1	1	0	0	2
sub-87135	5	4	4	3	4	4	4	4	4	5	4	5	2.0	10.0	1	1	0	1	2
sub-87346	5	3	1	2	2	5	1	3	4	3	2	5	6.0	8.0	1	0	0	0	2
sub-87445	4	2	3	3	2	2	3	4	2	3	1	4	8.0	2.0	1	1	1	1	2
sub-87457	3	3	5	3	5	3	4	4	3	5	3	4	3.0	10.0	1	1	0	0	2
sub-87538	5	4	4	4	5	5	3	4	5	5	5	5	5.0	7.0	1	1	1	1	2
sub-87563	4	3	2	4	5	4	4	4	5	5	4	3	3.0	15.0	1	1	1	1	2
sub-87601	4	2	1	2	5	2	4	4	4	4	2	4	2.0	5.0	1	0	1	1	2
sub-87646	5	3	2	4	5	4	4	4	3	3	2	3	2.0	13.0	1	1	1	0	2
sub-87804	4	3	3	3	4	4	4	3	2	3	2	3	5.0	11.0	1	1	1	1	2
sub-87990	4	5	3	1	5	5	2	1	5	5	5	5	8.0	8.0	1	1	1	1	2
sub-88209	5	3	4	3	3	3	4	2	4	3	3	4	4.0	8.0	1	1	0	1	2
sub-88402	2	3	4	4	5	5	4	4	5	5	5	5	2.0	4.0	1	1	0	1	2
sub-88589	3	3	3	3	3	3	3	3	3	3	3	3	4.0	8.0	1	1	1	1	2
sub-88608	4	3	1	1	3	4	1	1	4	3	3	5	7.0	10.0	1	1	0	1	2
sub-88760	5	5	5	4	4	4	4	4	4	3	3	5	5.0	8.0	1	0	0	1	2
sub-88770	5	2	3	2	2	5	3	2	5	4	5	4	6.0	12.0	0	0	0	1	2
sub-88773	4	3	5	3	5	5	3	4	5	4	5	5	9.0	9.0	1	1	1	1	2
sub-89279	2	3	2	4	3	5	3	2	2	3	4	3	5.0	8.0	1	1	0	1	2
sub-89377	4	3	2	2	3	2	3	2	3	2	3	3	3.0	9.0	1	1	0	1	2
sub-90021	4	4	2	2	4	4	4	4	4	4	4	4	4.0	19.0	0	0	0	1	2
sub-90060	5	3	5	2	5	4	3	4	3	4	4	5	3.0	15.0	1	1	1	1	2
sub-90077	3	1	5	3	1	1	2	1	4	2	3	5	4.0	8.0	1	0	0	1	2
sub-90262	2	2	2	5	5	5	5	4	1	5	2	4	2.0	5.0	1	1	1	1	2
sub-90281	3	3	2	4	4	3	4	4	2	4	3	2	4.0	12.0	1	1	1	0	2
sub-90683	5	2	4	3	5	4	4	4	5	4	4	5	4.0	8.0	1	1	0	1	2
sub-91717	3	3	3	2	4	3	3	4	3	4	3	5	8.0	14.0	1	1	1	1	2
sub-91919	3	3	4	4	3	5	4	3	5	3	5	5	8.0	10.0	1	1	1	1	2
sub-91962	5	3	5	3	5	4	2	4	5	3	5	5	7.0	6.0	1	1	0	1	2
sub-92089	5	2	5	2	4	5	5	3	3	5	4	5	4.0	10.0	1	1	0	0	2
sub-92182	5	3	3	3	3	3	3	4	5	5	3	4	4.0	8.0	1	1	0	1	2
sub-92193	5	5	4	1	4	4	1	1	5	3	5	5	4.0	6.0	1	1	1	1	2
sub-92211	4	4	3	3	4	4	4	4	3	3	2	4	2.0	10.0	1	1	0	1	2
sub-92554	5	3	4	4	5	4	4	4	5	3	4	5	2.0	6.0	1	1	1	1	2
sub-92927	5	4	4	3	4	4	4	3	5	3	3	5	5.0	8.0	1	1	0	1	2
sub-93051	4	3	5	2	4	4	3	4	3	3	3	5	4.0	10.0	1	1	0	1	2
sub-93169	5	5	4	1	4	4	1	1	4	2	4	5	7.0	8.0	1	1	0	1	2
sub-93274	5	1	5	3	5	4	4	3	5	5	5	5	8.0	10.0	1	1	1	1	2
sub-93278	5	4	4	3	4	3	3	4	2	4	2	5	4.0	5.0	1	1	1	0	2
sub-93292	4	3	5	4	3	5	1	1	4	3	3	5	4.0	13.0	1	1	1	1	2
sub-93406	4	3	5	3	5	5	5	5	5	3	5	5	3.0	6.0	1	1	0	1	2
sub-93517	5	1	1	2	5	5	3	5	4	5	5	3	2.0	14.0	0	0	1	1	2
sub-93549	5	5	1	3	4	5	3	3	4	4	5	5	6.0	5.0	1	1	0	1	2
sub-93723	5	2	1	4	5	5	5	5	5	5	5	5	1.0	2.0	1	1	0	1	2
sub-93734	5	2	1	4	2	4	4	2	2	4	2	3	6.0	10.0	1	1	1	0	2
